augmentation_level,batch_norm,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dtype,epochs,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),1,,.,0.118366,0.270800,0.101252,0.240973
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),2,,.,0.230354,0.449164,0.226884,0.444369
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),3,,.,0.283971,0.516945,0.295419,0.530878
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),4,,.,0.300336,0.538432,0.338971,0.579507
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),5,,.,0.321931,0.561241,0.368957,0.611948
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),6,,.,0.361936,0.604734,0.391942,0.635336
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),7,,.,0.384463,0.629261,0.410082,0.652506
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),8,,.,0.395667,0.642226,0.424222,0.667178
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),9,,.,0.394461,0.639966,0.436618,0.679050
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),10,,.,0.397727,0.643826,0.446119,0.688000
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),11,,.,0.419654,0.664833,0.454864,0.695961
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),12,,.,0.422395,0.668394,0.462281,0.702746
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),13,,.,0.435762,0.681006,0.468745,0.708116
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),14,,.,0.438260,0.683219,0.473573,0.713944
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),15,,.,0.438500,0.685559,0.479078,0.717826
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),16,,.,0.450824,0.690981,0.483350,0.721707
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),17,,.,0.446332,0.692335,0.487534,0.725819
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),18,,.,0.448383,0.693142,0.490842,0.729181
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),19,,.,0.461108,0.700804,0.494343,0.732191
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),20,,.,0.452785,0.694242,0.497489,0.734508
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),21,,.,0.454184,0.696112,0.500651,0.737681
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),22,,.,0.463728,0.704245,0.502378,0.739236
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),23,,.,0.458207,0.700024,0.505277,0.741363
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),24,,.,0.455726,0.698564,0.507439,0.743484
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),25,,.,0.445672,0.689059,0.509328,0.745144
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),26,,.,0.463628,0.704005,0.511242,0.747025
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),27,,.,0.468490,0.711728,0.513247,0.749149
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),28,,.,0.472171,0.711928,0.514737,0.749959
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),29,,.,0.463055,0.706801,0.516623,0.751401
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),30,,.,0.467250,0.710927,0.517711,0.752512
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),31,,.,0.457746,0.699204,0.519422,0.753855
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),32,,.,0.475032,0.716729,0.520439,0.754916
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),33,,.,0.471467,0.712276,0.522044,0.756074
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),34,,.,0.479994,0.719930,0.522961,0.757396
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),35,,.,0.461008,0.700004,0.524280,0.757962
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),36,,.,0.520547,0.754401,0.561522,0.785929
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),37,,.,0.522159,0.752977,0.566807,0.790182
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),38,,.,0.519666,0.755382,0.567467,0.790735
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),39,,.,0.526949,0.761744,0.575495,0.796065
3,False,64,1,1,0,1.0,/home/joseph/systematic-evaluation/data/imagenet1k,/home/joseph/Projects/binary-networks/data,imagenet,float32,40,"0,1",128,128,gaussian,device,image-classification.log,20,0.001,0.1,"34,37",False,imperative,densenext21,0.9,4,adam,meta/plot,model,False,"1.5,1.4,1.4",,1,123,0,False,0.0,meta/tblogs'),40,,.,0.527249,0.760623,0.576768,0.797748
