activation_method,add_relu_to_downsample,augmentation_level,batch_size,bits,bits_a,builtin_profiler,clip_threshold,data_dir,data_path,dataset,dry_run,dtype,epochs,fp_downsample_sc,gpus,growth_rate,init_features,initialization,kvstore,log,log_interval,lr,lr_factor,lr_steps,mean_subtraction,mode,model,momentum,num_workers,optimizer,plot_network,prefix,profile,reduction,resume,save_frequency,seed,start_epoch,use_pretrained,wd,weight_quantization,write_summary,epoch,time,exp_folder_name,val_acc,val_acc_top_k_5,train_acc,train_acc_top_k_5
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),1, 1522.278358,.,0.195392,0.404751,0.138692,0.307453
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),2, 1536.932180,.,0.337696,0.586377,0.299610,0.542093
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),3, 1534.549702,.,0.372296,0.625140,0.375934,0.626417
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),4, 1516.490305,.,0.421435,0.673274,0.421385,0.670487
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),5, 1515.230995,.,0.430267,0.680727,0.451476,0.698909
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),6, 1517.733787,.,0.436879,0.685256,0.473770,0.717942
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),7, 1520.322055,.,0.477202,0.721268,0.490286,0.732614
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),8, 1517.118157,.,0.484736,0.729828,0.504663,0.744222
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),9, 1513.300581,.,0.496583,0.739930,0.515694,0.753321
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),10, 1505.366398,.,0.500919,0.741009,0.524992,0.761448
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),11, 1504.824880,.,0.509355,0.749219,0.533680,0.767796
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),12, 1504.466950,.,0.508911,0.747742,0.540568,0.773797
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),13, 1503.211034,.,0.521160,0.758991,0.546027,0.778529
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),14, 1505.959076,.,0.518630,0.756751,0.552509,0.783172
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),15, 1506.649300,.,0.517323,0.756034,0.556965,0.786988
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),16, 1505.837126,.,0.524559,0.761879,0.561503,0.791128
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),17, 1506.676070,.,0.524936,0.763987,0.565974,0.793629
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),18, 1505.518636,.,0.524237,0.762228,0.569662,0.796594
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),19, 1505.174502,.,0.531290,0.767969,0.572894,0.799700
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),20, 1505.137762,.,0.498162,0.740409,0.575606,0.801827
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),21, 1504.555860,.,0.533967,0.771260,0.578813,0.804359
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),22, 1504.575048,.,0.527624,0.762640,0.581292,0.806420
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),23, 1511.385911,.,0.531550,0.766304,0.584388,0.808616
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),24, 1505.787140,.,0.534155,0.770212,0.586529,0.810197
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),25, 1508.963972,.,0.540561,0.774377,0.588795,0.812081
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),26, 1504.632957,.,0.539482,0.772139,0.590378,0.813034
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),27, 1504.231764,.,0.541546,0.776202,0.592749,0.814903
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),28, 1503.908082,.,0.546915,0.778712,0.594648,0.816509
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),29, 1501.699747,.,0.545117,0.777054,0.596069,0.817726
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),30, 1507.516449,.,0.552143,0.782432,0.597931,0.819073
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),31, 1505.914104,.,0.544617,0.778113,0.600215,0.820790
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),32, 1506.439135,.,0.546114,0.778766,0.601239,0.821458
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),33, 1503.291313,.,0.548633,0.781050,0.602496,0.822561
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),34, 1506.713726,.,0.549313,0.781190,0.603434,0.823201
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),35, 1504.823998,.,0.550321,0.780088,0.604497,0.824433
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),36, 1503.790226,.,0.547315,0.779352,0.607057,0.825395
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),37, 1503.401101,.,0.546575,0.779552,0.607664,0.826206
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),38, 1502.948996,.,0.551442,0.781250,0.608733,0.827278
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),39, 1504.016726,.,0.552010,0.782848,0.609869,0.828628
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.001,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),40, 1513.374635,.,0.552845,0.784335,0.611062,0.829116
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000100,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),41, 1504.971465,.,0.549193,0.780391,0.611783,0.829759
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000100,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),42, 1503.627400,.,0.586477,0.806825,0.643955,0.849393
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000100,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),43, 1504.329448,.,0.588381,0.809655,0.649985,0.853339
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000100,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),44, 1507.329083,.,0.588775,0.810342,0.652169,0.854934
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000100,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),45, 1507.154654,.,0.587156,0.810362,0.653395,0.855740
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000010,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),46, 1504.783975,.,0.589022,0.809816,0.653847,0.856371
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000010,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),47, 1506.850120,.,0.590813,0.811341,0.658381,0.859277
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000010,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),48, 1505.570520,.,0.592949,0.813942,0.659874,0.860185
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000010,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),49, 1505.756609,.,0.591652,0.813179,0.660598,0.860668
det_sign,True,3,32,1,1,0,1.0,/mnt/ssd1/haojin/mxnet_data/imagenet1k,/mnt/ssd1/joseph/cifar,imagenet,False,float32,50,True,"0,1,2,3",160,128,gaussian,device,image-classification.log,10,0.000010,0.1,"40,45",False,imperative,densenet21,0.9,4,adam,meta/plot,model,False,"2,2,2",,1,123,0,False,0.0,det_sign,meta/tblogs'),50, 1503.764212,.,0.593211,0.813839,0.661105,0.860638
